"","x"
"AREA (MM2) OF [EPITHELIAL] IN [TISSUE]_HE",1
"AREA (MM2) OF [ESI_0080] IN [TISSUE]_HE",1
"AREA (MM2) OF [NECROSIS] IN [TISSUE]_HE",2
"AREA (MM2) OF [STROMA] IN [TISSUE]_HE",3
"AREA (MM2) OF [TUMOR] IN [TISSUE]_HE",1
"AREA PROP [[EPITHELIAL] OVER [TUMOR]] IN [TISSUE]_HE",4
"AREA PROP [[ESI_0080] OVER [TUMOR]] IN [TISSUE]_HE",5
"AREA PROP [[STROMA] OVER [TUMOR]] IN [TISSUE]_HE",4
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN EPITHELIAL_HE",6
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN ESI_0080_HE",5
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN STROMA_HE",5
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN TUMOR_HE",6
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN EPITHELIAL_HE",6
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN ESI_0080_HE",3
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN STROMA_HE",3
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN TUMOR_HE",3
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE",6
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN ESI_0080_HE",3
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN STROMA_HE",3
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN TUMOR_HE",6
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN EPITHELIAL_HE",7
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN ESI_0080_HE",7
"CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN STROMA_HE",7
